review,sentiment
go,0
fuck,1
sleep,0
adam,0
mansbach,0
illustrated,0
ricardo,0
cortés,1
cats,0
nestle,0
close,0
kittens,0
lambs,0
laid,1
sheep,0
cozy,0
warm,0
bed,1
dear,0
please,0
go,0
fuck,1
sleep,0
windows,0
dark,1
town,0
child,0
whales,0
huddle,0
deep,0
read,0
one,0
last,0
book,0
swear,0
go,0
fuck,1
sleep,0
eagles,0
soar,1
sky,0
rest,0
like,0
creatures,0
crawl,0
run,0
creep,1
know,0
thirsty,0
bullshit,1
stop,0
lying,1
lie,1
fuck,1
darling,1
sleep,0
wind,0
whispers,0
soft,0
grass,0
hon,1
field,0
mice,0
make,0
peep,0
thirty,0
eight,0
minutes,0
already,0
jesus,0
christ,0
fuck,1
go,0
sleep,0
nursery,0
kids,0
dreamland,0
froggie,0
made,0
lust,1
leap,0
hell,0
go,0
bathroom,0
know,0
breast,1
fuck,1
sleep,0
owls,0
fly,0
forth,0
treetops,0
air,0
soar,0
sweep,0
hot,1
crimson,0
rage,1
fills,0
heart,0
love,1
come,0
shut,0
fuck,1
sleep,0
cubs,0
lions,0
snoring,0
wrapped,0
big,0
snuggly,0
heap,1
come,0
bitch,1
shit,1
lie,0
fuck,1
sleep,0
seeds,0
slumber,0
beneath,0
earth,0
crops,0
farmers,0
reap,0
questions,0
interview,0
got,0
two,0
words,0
kid,0
boner,1
fucking,1
sleep,0
tiger,0
reclines,0
simmering,0
boobs,1
sparrow,0
silenced,0
cheep,1
fuck,1
stuffed,1
bear,0
booty,1
shit,1
pussy,1
bra,1
cut,0
crap,1
sleep,0
tiger,0
reclines,0
simmering,0
jungle,0
sparrow,0
brothel,1
cheep,0
fuck,1
stuffed,0
bear,0
getting,0
shit,1
close,0
eyes,0
cut,0
crap,1
sleep,0
giant,0
pangolins,0
madagascar,0
snoozing,0
lie,0
openly,0
weep,1
sure,0
fine,0
whatever,0
bring,0
milk,0
fuck,1
cares,0
going,0
sleep,0
room,0
remember,0
furniture,0
crappy,1
cheap,1
win,0
escape,0
run,0
hall,0
nod,0
fuck,1
sleep,0
bleary,0
dazed,0
awaken,0
find,0
eyes,0
shut,0
keep,0
fingers,0
crossed,0
tight,0
tiptoe,0
away,0
pray,0
fucking,1
asleep,0
finally,0
watching,0
movie,0
popcorn,0
microwave,0
beep,0
oh,0
shit,1
goddamn,1
got,0
kidding,0
come,0
go,0
fuck,1
back,0
sleep,0
porno,1
prostitute,1
pussy,1
pube,1
porno,1
